product_id,product_name,product_slug,old_thumbnail_id,old_thumbnail_title,old_score,new_thumbnail_id,new_thumbnail_title,new_score,second_score,margin,reasons
75371,The Derma Co Ultra Light Zinc Mineral Sunscreen 50g,the-derma-co-ultra-light-zinc-mineral-sunscreen-50g,57481,emart-Illiyoon_CeramideAtoConcentrateCream_01,0,75372,0850_The20Derma20Co20Ultra20Light20Zinc20Mineral20Sunscreen2050.jpg,0.722,0.001,0.721,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
75419,The Derma CO Sali Cinamide Anti Acne Serum 30ml,the-derma-co-sali-cinamide-anti-acne-serum-30ml,91676,84956e305a55841cea53e5a33a685cca.jpg_720x720q80,0,75420,0875_The20Derma20CO20Sali20Cinamide20Anti20Acne20Serum2030ml.jpg,0.905,0.331,0.574,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
75431,The Derma CO 1% Kojic Acid Daily Face Wash 100ml,the-derma-co-1-kojic-acid-daily-face-wash-100ml,91674,IjGwXLebzKT3pN2zQcd9mvckklPNljiUqpYAr5PW,0,75432,0882_The20Derma20CO20120Kojic20Acid20Daily20Face20Wash20100ml.jpg,0.747,0.406,0.341,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
75437,The Derma Co 1% Salicylic Acid Gel Face Wash 100ml,the-derma-co-1-salicylic-acid-gel-face-wash-100ml,91668,bc7ea11edcc404fcec1d440a08fa454f.jpg_720x720q80,0,75432,0882_The20Derma20CO20120Kojic20Acid20Daily20Face20Wash20100ml.jpg,0.747,0.406,0.341,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
75461,The Dermalix Rose Soothing Shower Gel 250ml,the-dermalix-rose-soothing-shower-gel-250ml,91665,VkVd0cnVSxr4QehXf4pmZGLbQ8ngfDI6wPwRwakE,0,75456,0897_Buy20120The20Dermalix20Rose20Soothing20Shower20Gel20250ml.jpg,0.847,0.628,0.219,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
75467,The YEON Vita Fresh Gel Sunscreen 50ml,the-yeon-vita-fresh-gel-sunscreen-50ml,91663,JBOt7BAwTx877YayNTXSZXZzt2a763B0iGwdOBag,0,75466,905_The20YEON20Vita20Fresh20Gel20Sunscreen2050ml.jpg,0.865,0.31,0.555,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
75515,Valencia Gio Nature Plus Sunblock 70ml,valencia-gio-nature-plus-sunblock-70ml,91650,1736618716525,0,75514,935_Valencia20Gio20Nature20Plus20Sunblock2070ml.jpg,0.88,,0.88,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
75557,WSKINLAB Stop Aging Peptide Sheet Mask 22ml,wskinlab-stop-aging-peptide-sheet-mask-22ml,91635,emart skincarer,0,75558,0957_WSKINLAB20Stop20Aging20Peptide20Sheet20Mask2022ml.jpg,0.893,0.471,0.422,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
75559,WSKINLAB Triple Care Sunstick 17g,wskinlab-triple-care-sunstick-17g,91634,xYTfRzEaUQhbeDC43sDgGMEubu0VTtValKuWQI7f,0,75560,0958_WSKINLAB20Triple20Care20Sunstick2017g.jpg,0.847,0.188,0.659,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
75561,WSKINLAB Stop-Aging Peptide Toner 250ml,wskinlab-stop-aging-peptide-toner-250ml,91632,PQph2BQMIETIBiv34H7tlMkaolFXLtFWVNGeXbH4,0,75562,0959_WSKINLAB20Stop-Aging20Peptide20Toner20250ml.jpg,0.88,0.533,0.347,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
75563,WSKINLAB Stop-Aging Peptide Essence 100ml,wskinlab-stop-aging-peptide-essence-100ml,91631,1730030509055,0,75564,0960_WSKINLAB20Stop-Aging20Peptide20Essence20100ml.jpg,0.88,0.533,0.347,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
75613,WishCare Underarm Roll On Serum 50ml,wishcare-underarm-roll-on-serum-50ml,91615,$_57,0,75614,0988_WishCare20Underarm20Roll20On20Serum2050ml.jpg,0.88,0.267,0.613,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
93014,Tiam Pore Minimizing 21 Serum and Cream Combo,tiam-pore-minimizing-21-serum-and-cream-combo,,,0,93015,Tiam Pore Minimizing 21 Serum and Cream Combo Price in Bangladesh | Emart,0.786,0.221,0.565,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
